time,open,close,low,high,volume
1741836000,84108.41000000,84159.37000000,84005.60000000,84160.20000000,74.03867000
1741836300,84159.38000000,83895.16000000,83877.61000000,84199.54000000,68.87793000
1741836600,83895.16000000,83705.57000000,83649.93000000,83907.26000000,121.60427000
1741836900,83705.57000000,83749.72000000,83636.36000000,83749.72000000,56.65128000
1741837200,83749.72000000,83603.57000000,83593.00000000,83751.51000000,41.66055000
1741837500,83603.57000000,83643.98000000,83580.32000000,83649.76000000,27.70536000
1741837800,83643.99000000,83650.38000000,83542.53000000,83694.49000000,35.83013000
1741838100,83650.39000000,83577.14000000,83558.31000000,83704.57000000,34.17328000
1741838400,83577.14000000,83620.50000000,83531.14000000,83668.93000000,39.42083000
1741838700,83620.50000000,83614.64000000,83589.72000000,83666.00000000,35.24397000
1741839000,83614.63000000,83620.96000000,83591.87000000,83709.03000000,43.09005000
1741839300,83620.95000000,83469.62000000,83466.11000000,83700.00000000,55.14875000
1741839600,83469.62000000,83510.10000000,83469.62000000,83559.50000000,69.60824000
1741839900,83510.10000000,83457.38000000,83450.62000000,83534.19000000,55.71584000
1741840200,83457.38000000,83386.41000000,83299.28000000,83538.61000000,149.07046000
1741840500,83386.42000000,83283.92000000,83264.39000000,83438.92000000,66.55928000
1741840800,83283.93000000,83313.94000000,83269.13000000,83370.54000000,56.03558000
1741841100,83313.94000000,83437.69000000,83299.44000000,83465.96000000,29.30677000
1741841400,83437.69000000,83377.01000000,83352.80000000,83465.95000000,65.59283000
1741841700,83377.00000000,83286.63000000,83201.91000000,83380.00000000,74.43642000
1741842000,83286.63000000,83405.17000000,83266.97000000,83436.97000000,49.82930000
1741842300,83405.17000000,83328.59000000,83328.30000000,83438.61000000,21.64020000
1741842600,83328.59000000,83370.00000000,83318.31000000,83386.76000000,27.91881000
1741842900,83370.00000000,83413.68000000,83302.60000000,83413.68000000,32.65834000
1741843200,83413.68000000,83510.29000000,83356.89000000,83510.30000000,74.03051000
1741843500,83510.30000000,83454.83000000,83444.01000000,83540.83000000,63.09192000
1741843800,83454.83000000,83310.46000000,83299.75000000,83461.81000000,76.30612000
1741844100,83310.46000000,83180.61000000,83143.87000000,83316.69000000,105.83242000
1741844400,83180.61000000,83094.68000000,83082.18000000,83180.61000000,98.92127000
1741844700,83094.68000000,83167.44000000,83087.38000000,83247.79000000,43.73259000
1741845000,83167.44000000,83097.81000000,83077.00000000,83200.65000000,40.22969000
1741845300,83097.81000000,83157.16000000,83094.15000000,83204.00000000,113.44519000
1741845600,83157.16000000,83083.41000000,83062.35000000,83204.32000000,32.34179000
1741845900,83083.41000000,83006.89000000,82976.15000000,83096.07000000,118.78687000
1741846200,83006.90000000,82957.98000000,82954.54000000,83063.68000000,47.56270000
1741846500,82957.99000000,83004.84000000,82929.42000000,83030.26000000,42.85054000
1741846800,83004.84000000,82873.49000000,82851.00000000,83016.40000000,81.95220000
1741847100,82873.49000000,83016.61000000,82873.49000000,83016.61000000,95.59777000
1741847400,83016.61000000,83107.62000000,82976.81000000,83112.22000000,76.86226000
1741847700,83107.62000000,83067.57000000,83024.27000000,83147.04000000,40.03965000
1741848000,83067.57000000,83044.79000000,83020.07000000,83093.71000000,42.03569000
1741848300,83044.78000000,83231.46000000,83044.78000000,83280.01000000,91.92174000
1741848600,83231.46000000,83267.46000000,83196.92000000,83329.42000000,68.95679000
1741848900,83267.46000000,83292.60000000,83203.18000000,83326.01000000,75.23959000
1741849200,83292.60000000,83295.54000000,83264.17000000,83340.49000000,95.66540000
1741849500,83295.54000000,83167.59000000,83129.99000000,83340.00000000,196.01454000
1741849800,83167.59000000,83185.73000000,83160.37000000,83260.00000000,22.52307000
1741850100,83185.73000000,83284.15000000,83185.73000000,83321.40000000,32.09207000
1741850400,83284.15000000,83437.91000000,83254.98000000,83559.06000000,132.47025000
1741850700,83437.90000000,83433.91000000,83376.29000000,83490.57000000,28.32069000
1741851000,83433.92000000,83450.61000000,83386.82000000,83533.51000000,83.43454000
1741851300,83450.61000000,83221.09000000,83221.08000000,83450.61000000,89.29446000
1741851600,83221.09000000,83266.09000000,83213.51000000,83301.89000000,24.92447000
1741851900,83266.09000000,83327.16000000,83230.50000000,83334.16000000,30.45410000
1741852200,83327.16000000,83224.03000000,83224.03000000,83346.36000000,18.08462000
1741852500,83224.03000000,83151.99000000,83127.98000000,83244.10000000,30.10417000
1741852800,83152.00000000,83225.49000000,83133.01000000,83262.58000000,44.16739000
1741853100,83225.49000000,83227.69000000,83133.67000000,83244.32000000,30.44229000
1741853400,83227.68000000,83101.01000000,83101.01000000,83235.59000000,26.24061000
1741853700,83101.01000000,83005.17000000,82911.79000000,83127.72000000,60.21627000
1741854000,83005.18000000,82787.64000000,82736.77000000,83065.40000000,131.91941000
1741854300,82787.63000000,82641.49000000,82526.51000000,82792.55000000,135.36768000
1741854600,82641.48000000,82701.06000000,82641.48000000,82754.26000000,47.38604000
1741854900,82701.06000000,82604.96000000,82594.33000000,82789.49000000,74.22830000
1741855200,82604.96000000,82661.61000000,82400.04000000,82661.61000000,76.47573000
1741855500,82661.62000000,82813.76000000,82636.34000000,82843.85000000,47.04896000
1741855800,82813.76000000,82862.20000000,82791.06000000,82910.00000000,73.30209000
1741856100,82862.19000000,82973.35000000,82832.65000000,83057.14000000,75.60692000
1741856400,82973.34000000,83049.30000000,82969.79000000,83261.76000000,137.19416000
1741856700,83049.31000000,83093.99000000,83041.02000000,83196.07000000,30.14252000
1741857000,83093.99000000,83165.56000000,83084.47000000,83197.86000000,33.21280000
1741857300,83165.57000000,83314.75000000,83162.10000000,83314.76000000,60.71372000
1741857600,83314.75000000,83297.02000000,83255.95000000,83487.01000000,195.61824000
1741857900,83297.03000000,83241.92000000,83230.00000000,83356.52000000,56.26231000
1741858200,83241.91000000,83349.88000000,83209.24000000,83356.85000000,52.55627000
1741858500,83349.87000000,83336.16000000,83283.72000000,83374.35000000,48.15572000
1741858800,83336.17000000,83304.14000000,83255.31000000,83371.78000000,38.98098000
1741859100,83304.15000000,83409.52000000,83304.14000000,83522.61000000,109.00573000
1741859400,83409.53000000,83344.48000000,83315.76000000,83460.50000000,98.46465000
1741859700,83344.49000000,83426.87000000,83334.12000000,83471.40000000,104.66344000
1741860000,83426.87000000,83389.55000000,83324.12000000,83488.43000000,92.94234000
1741860300,83389.56000000,83288.50000000,83256.05000000,83395.96000000,69.45345000
1741860600,83288.51000000,83336.21000000,83277.87000000,83360.00000000,46.36471000
1741860900,83336.21000000,83201.93000000,83201.91000000,83379.06000000,58.92586000
1741861200,83201.92000000,83238.74000000,83129.17000000,83274.03000000,88.78514000
1741861500,83238.74000000,83300.00000000,83110.00000000,83300.00000000,78.12479000
1741861800,83299.99000000,83098.94000000,83097.32000000,83398.31000000,78.93429000
1741862100,83098.94000000,83193.47000000,83008.82000000,83199.42000000,64.56873000
1741862400,83193.47000000,83086.27000000,83067.06000000,83239.38000000,38.11259000
1741862700,83086.26000000,83160.35000000,83001.00000000,83160.38000000,34.79508000
1741863000,83160.35000000,83237.01000000,83150.79000000,83312.78000000,69.52745000
1741863300,83237.02000000,83191.67000000,83119.67000000,83294.58000000,33.96524000
1741863600,83191.67000000,83093.13000000,83058.44000000,83229.42000000,53.44691000
1741863900,83093.12000000,83058.40000000,82952.87000000,83134.08000000,88.55348000
1741864200,83058.40000000,82966.03000000,82950.00000000,83129.96000000,54.02897000
1741864500,82966.03000000,82894.38000000,82822.31000000,82969.01000000,82.01230000
1741864800,82894.37000000,82924.52000000,82857.29000000,82962.67000000,38.84754000
1741865100,82924.52000000,82866.48000000,82784.46000000,82928.95000000,48.17606000
1741865400,82866.47000000,82996.85000000,82851.55000000,83016.88000000,46.93452000
1741865700,82996.85000000,82789.34000000,82760.79000000,83006.54000000,66.95537000
1741866000,82789.35000000,82864.90000000,82771.33000000,82933.55000000,39.63642000
1741866300,82864.91000000,82793.83000000,82708.29000000,82875.43000000,43.90330000
1741866600,82793.83000000,82850.61000000,82767.72000000,82897.88000000,29.05981000
1741866900,82850.61000000,82975.86000000,82809.02000000,82992.48000000,66.14109000
1741867200,82975.86000000,82867.91000000,82817.34000000,83025.03000000,51.79244000
1741867500,82867.90000000,82803.66000000,82762.31000000,82914.02000000,40.17002000
1741867800,82803.66000000,82840.82000000,82756.62000000,82908.11000000,33.73916000
1741868100,82840.82000000,83018.47000000,82835.08000000,83018.87000000,55.78138000
1741868400,83018.87000000,83196.70000000,82961.89000000,83244.51000000,75.39866000
1741868700,83196.69000000,83277.41000000,83136.00000000,83330.63000000,144.99697000
1741869000,83277.40000000,83070.36000000,82904.08000000,83900.00000000,460.11081000
1741869300,83070.36000000,82747.84000000,82666.00000000,83121.50000000,197.55514000
1741869600,82747.84000000,83007.23000000,82747.84000000,83030.13000000,105.78614000
1741869900,83007.22000000,82697.50000000,82688.67000000,83007.22000000,106.14025000
1741870200,82697.50000000,82593.76000000,82570.32000000,82786.87000000,89.93673000
1741870500,82593.76000000,82517.99000000,82286.00000000,82610.40000000,311.83454000
1741870800,82518.00000000,82848.93000000,82474.79000000,82898.63000000,228.61791000
1741871100,82848.93000000,82747.56000000,82617.11000000,82919.55000000,130.33331000
1741871400,82747.55000000,82591.10000000,82547.17000000,82747.56000000,102.94229000
1741871700,82591.19000000,82623.39000000,82545.69000000,82709.04000000,48.32014000
1741872000,82623.38000000,82774.50000000,82549.38000000,82909.09000000,94.39165000
1741872300,82774.50000000,82908.50000000,82769.30000000,82984.89000000,130.94227000
1741872600,82908.50000000,82869.64000000,82625.00000000,83111.64000000,194.18241000
1741872900,82869.64000000,82522.70000000,82402.80000000,82883.98000000,213.48099000
1741873200,82522.69000000,82388.00000000,82388.00000000,82692.00000000,144.25673000
1741873500,82388.00000000,82196.05000000,82106.84000000,82489.99000000,194.45071000
1741873800,82196.05000000,81914.39000000,81823.75000000,82319.73000000,328.08107000
1741874100,81914.39000000,81777.15000000,81600.00000000,81919.01000000,246.53147000
1741874400,81777.15000000,81895.14000000,81546.52000000,81976.55000000,269.69567000
1741874700,81895.15000000,81911.58000000,81850.33000000,82122.75000000,173.15143000
1741875000,81911.59000000,82042.84000000,81780.31000000,82061.00000000,169.83189000
1741875300,82042.84000000,82458.83000000,81982.34000000,82524.46000000,224.47153000
1741875600,82458.82000000,82242.31000000,82019.66000000,82458.83000000,151.28935000
1741875900,82242.31000000,81897.17000000,81843.63000000,82409.31000000,148.42157000
1741876200,81897.18000000,82078.60000000,81897.18000000,82175.41000000,125.33836000
1741876500,82078.60000000,82068.15000000,81972.01000000,82213.69000000,120.73901000
1741876800,82068.16000000,82033.87000000,81864.36000000,82150.00000000,80.13956000
1741877100,82033.87000000,81936.46000000,81862.00000000,82169.37000000,89.18940000
1741877400,81936.46000000,82181.95000000,81918.77000000,82272.08000000,112.67774000
1741877700,82181.95000000,82009.50000000,81942.23000000,82181.95000000,60.49040000
1741878000,82009.51000000,82015.43000000,81966.00000000,82193.66000000,100.76676000
1741878300,82015.44000000,81653.53000000,81581.79000000,82036.53000000,231.05326000
1741878600,81654.00000000,81655.02000000,81587.14000000,81773.55000000,91.30852000
1741878900,81655.03000000,81670.52000000,81414.87000000,81714.40000000,260.54951000
1741879200,81670.52000000,81812.39000000,81592.47000000,81818.84000000,88.34983000
1741879500,81812.40000000,81586.42000000,81557.64000000,81831.42000000,103.85945000
1741879800,81586.41000000,81388.00000000,81372.78000000,81586.41000000,225.93779000
1741880100,81387.99000000,81083.93000000,81079.23000000,81395.12000000,303.81786000
1741880400,81083.92000000,81420.01000000,80954.29000000,81535.99000000,425.97526000
1741880700,81420.00000000,81297.22000000,81161.93000000,81420.00000000,114.71118000
1741881000,81297.22000000,81012.38000000,81012.38000000,81314.49000000,112.79828000
1741881300,81012.39000000,81044.72000000,81000.00000000,81116.17000000,116.76568000
1741881600,81044.72000000,81143.44000000,80990.88000000,81212.00000000,221.40129000
1741881900,81143.43000000,81019.87000000,80852.87000000,81164.53000000,265.51094000
1741882200,81019.87000000,80949.99000000,80852.00000000,81019.87000000,99.65431000
1741882500,80949.99000000,80989.23000000,80852.76000000,81096.99000000,110.08449000
1741882800,80989.22000000,81056.11000000,80970.02000000,81157.01000000,94.00992000
1741883100,81056.12000000,80948.02000000,80929.41000000,81109.39000000,87.33431000
1741883400,80948.02000000,81015.11000000,80850.00000000,81044.84000000,111.48420000
1741883700,81015.11000000,81175.01000000,80891.17000000,81264.73000000,222.71243000
1741884000,81175.01000000,81021.42000000,81000.00000000,81233.37000000,99.06827000
1741884300,81021.42000000,80796.42000000,80666.00000000,81021.42000000,200.79715000
1741884600,80796.41000000,80735.80000000,80712.24000000,80914.28000000,92.33288000
1741884900,80735.80000000,80876.36000000,80698.90000000,80876.36000000,82.54972000
1741885200,80876.36000000,80761.16000000,80666.00000000,80893.02000000,139.29953000
1741885500,80761.16000000,80716.65000000,80582.71000000,80847.31000000,362.66674000
1741885800,80716.65000000,80584.71000000,80434.91000000,80716.65000000,394.68060000
1741886100,80584.70000000,80383.29000000,80273.58000000,80589.43000000,315.09905000
1741886400,80383.28000000,80323.04000000,80268.00000000,80491.97000000,219.98470000
1741886700,80323.03000000,80394.07000000,80222.00000000,80431.08000000,93.87949000
1741887000,80394.07000000,80219.31000000,80219.30000000,80553.99000000,122.60178000
1741887300,80219.30000000,80143.18000000,80123.00000000,80331.99000000,302.22984000
1741887600,80143.18000000,80151.39000000,80088.00000000,80244.81000000,195.97317000
1741887900,80151.40000000,80010.50000000,79939.90000000,80154.39000000,451.86720000
1741888200,80010.50000000,80173.09000000,79986.61000000,80268.39000000,180.20639000
1741888500,80173.09000000,80064.00000000,79984.33000000,80173.09000000,210.43028000
1741888800,80063.99000000,80351.02000000,79996.65000000,80470.63000000,299.72663000
1741889100,80351.03000000,80445.70000000,80351.03000000,80603.78000000,150.45459000
1741889400,80445.69000000,80730.30000000,80403.49000000,80789.88000000,157.79494000
1741889700,80730.29000000,80651.58000000,80511.27000000,80741.59000000,92.53177000
1741890000,80651.57000000,80842.42000000,80582.08000000,80944.05000000,153.33395000
1741890300,80842.42000000,80916.38000000,80786.08000000,80955.36000000,127.49268000
1741890600,80916.39000000,80800.01000000,80764.80000000,80957.84000000,132.83678000
1741890900,80800.01000000,80800.65000000,80644.34000000,80886.80000000,120.32479000
1741891200,80800.64000000,80752.09000000,80706.87000000,80856.77000000,164.95269000
1741891500,80752.08000000,80822.65000000,80615.19000000,80843.65000000,128.35049000
1741891800,80822.65000000,80745.12000000,80544.57000000,80852.12000000,68.79057000
1741892100,80745.12000000,80820.05000000,80688.67000000,80858.84000000,41.58550000
1741892400,80820.05000000,80909.92000000,80767.04000000,81031.81000000,105.60811000
1741892700,80909.91000000,80737.41000000,80650.94000000,80909.92000000,63.64073000
1741893000,80737.40000000,80743.61000000,80682.79000000,80792.46000000,101.57809000
1741893300,80743.62000000,80739.08000000,80609.90000000,80760.40000000,81.71308000
1741893600,80739.07000000,80632.73000000,80612.00000000,80739.08000000,45.73073000
1741893900,80632.73000000,80565.82000000,80420.57000000,80640.08000000,94.34976000
1741894200,80565.83000000,80651.01000000,80475.38000000,80670.32000000,92.95229000
1741894500,80651.02000000,80432.64000000,80416.66000000,80661.98000000,53.55070000
1741894800,80432.65000000,80355.47000000,80324.01000000,80517.90000000,89.51389000
1741895100,80355.47000000,80342.20000000,80237.68000000,80433.25000000,70.88572000
1741895400,80342.20000000,80323.25000000,80146.00000000,80356.43000000,96.75506000
